DATE,y,c,i,g,h,rec
1980-01-01,7341.557,4534.348,972.248,1864.003,67.622,0
1980-04-01,7190.289,4432.231,889.579,1867.666,66.401,1
1980-07-01,7181.743,4480.849,830.866,1842.245,66.098,1
1980-10-01,7315.677,4541.39,908.306,1841.838,66.987,0
1981-01-01,7459.022,4556.603,992.376,1866.472,67.373,0
1981-04-01,7403.745,4556.934,951.246,1870.062,67.425,0
1981-07-01,7492.405,4578.013,1004.861,1863.621,67.387,0
1981-10-01,7410.768,4546.699,969.475,1887.304,67.093,1
1982-01-01,7295.631,4580.19,877.772,1885.192,65.964,1
1982-04-01,7328.912,4594.142,877.104,1892.356,66.268,1
1982-07-01,7300.896,4624.939,869.067,1907.531,65.795,1
1982-10-01,7303.817,4705.953,801.889,1936.943,65.182,1
1983-01-01,7400.066,4752.481,829.672,1955.554,65.578,0
1983-04-01,7568.456,4849.254,903.148,1971.659,66.343,0
1983-07-01,7719.746,4936.211,959.692,2005.68,67.669,0
1983-10-01,7880.794,5014.874,1053.054,1973.58,68.939,0
1984-01-01,8034.847,5056.492,1154.826,1994.498,70.258,0
1984-04-01,8173.67,5127.332,1192.381,2037.823,71.173,0
1984-07-01,8252.465,5165.357,1218.184,2054.317,71.482,0
1984-10-01,8320.199,5232.266,1202.383,2097.444,71.947,0
1985-01-01,8400.82,5321.159,1169.416,2120.284,72.522,0
1985-04-01,8474.787,5370.011,1189.334,2167.338,73.017,0
1985-07-01,8604.22,5472.014,1181.226,2216.743,73.222,0
1985-10-01,8668.188,5483.866,1224.763,2225.878,73.589,0
1986-01-01,8749.127,5531.807,1224.404,2243.464,73.483,0
1986-04-01,8788.524,5592.08,1203.028,2290.227,73.284,0
1986-07-01,8872.601,5690.971,1170.667,2340.115,73.655,0
1986-10-01,8920.193,5725.812,1174.171,2330.449,74.209,0
1987-01-01,8986.367,5731.226,1205.858,2344.118,75.133,0
1987-04-01,9083.256,5809.376,1206.486,2362.291,75.564,0
1987-07-01,9162.024,5875.641,1206.662,2364.769,76.09,0
1987-10-01,9319.332,5888.065,1288.881,2400.223,76.876,0
1988-01-01,9367.502,5992.101,1227.008,2380.198,76.947,0
1988-04-01,9490.594,6036.355,1256.243,2387.303,78.029,0
1988-07-01,9546.206,6090.001,1263.222,2387.578,78.239,0
1988-10-01,9673.405,6159.246,1282.499,2433.9,79.117,0
1989-01-01,9771.725,6187.816,1326.029,2423.185,79.91,0
1989-04-01,9846.293,6216.695,1313.202,2460.441,80.219,0
1989-07-01,9919.228,6276.877,1301.412,2482.562,80.403,0
1989-10-01,9938.767,6304.157,1291.758,2495.007,80.407,0
1990-01-01,10047.386,6357.213,1304.586,2534.913,80.657,0
1990-04-01,10083.855,6376.579,1304.993,2538.916,80.31,0
1990-07-01,10090.569,6401.841,1279.695,2542.963,79.893,0
1990-10-01,9998.704,6353.139,1208.107,2559.964,79.553,1
1991-01-01,9951.916,6329.249,1167.908,2575.22,78.776,1
1991-04-01,10029.51,6381.703,1167.904,2585.693,78.282,0
1991-07-01,10080.195,6413.521,1191.028,2578.454,78.19,0
1991-10-01,10115.329,6410.312,1233.261,2559.584,78.055,0
1992-01-01,10236.435,6530.335,1210.478,2582.28,77.596,0
1992-04-01,10347.429,6574.665,1278.935,2577.285,77.912,0
1992-07-01,10449.673,6645.14,1289.101,2593.701,78.031,0
1992-10-01,10558.648,6724.342,1328.433,2593.4,78.546,0
1993-01-01,10576.275,6750.123,1359.751,2561.222,79.231,0
1993-04-01,10637.847,6811.522,1367.575,2561.456,80.135,0
1993-07-01,10688.606,6887.329,1358.287,2565.1,80.602,0
1993-10-01,10833.987,6947.788,1429.661,2574.165,81.375,0
1994-01-01,10939.116,7027.255,1484.116,2542.324,81.886,0
1994-04-01,11087.361,7081.931,1557.107,2554.916,83.211,0
1994-07-01,11152.176,7135.93,1531.67,2597.991,84.19,0
1994-10-01,11279.932,7213.079,1594.684,2575.394,84.539,0
1995-01-01,11319.951,7231.032,1611.428,2584.415,84.949,0
1995-04-01,11353.721,7294.424,1577.96,2593.101,84.827,0
1995-07-01,11450.31,7360.529,1568.555,2586.304,85.801,0
1995-10-01,11528.067,7411.873,1607.513,2559.248,86.02,0
1996-01-01,11614.418,7480.231,1633.332,2576.137,86.186,0
1996-04-01,11808.14,7560.702,1711.813,2608.232,86.993,0
1996-07-01,11914.063,7606.475,1789.565,2608.223,87.716,0
1996-10-01,12037.775,7667.062,1787.19,2626.227,88.705,0
1997-01-01,12115.472,7747.88,1823.255,2612.572,89.468,0
1997-04-01,12317.221,7782.76,1935.157,2646.418,89.905,0
1997-07-01,12471.01,7915.359,1962.053,2658.663,90.449,0
1997-10-01,12577.495,8009.964,1990.86,2672.005,90.871,0
1998-01-01,12703.742,8090.987,2078.205,2662.448,91.43,0
1998-04-01,12821.339,8233.463,2065.336,2709.053,91.91,0
1998-07-01,12982.752,8340.831,2118.989,2729.468,92.047,0
1998-10-01,13191.67,8461.33,2183.382,2745.584,93.178,0
1999-01-01,13315.597,8548.235,2243.548,2765.048,93.042,0
1999-04-01,13426.748,8679.143,2244.682,2775.035,93.552,0
